"Source:","/home/jconvertino/Projects/mini_colecovision/schematic/coleco_original.kicad_sch"
"Date:","Thu 07 Nov 2024 08:49:35 PM EST"
"Tool:","Eeschema 7.0.11-7.0.11~ubuntu22.04.1"
"Generator:","/usr/share/kicad/plugins/bom_csv_grouped_by_value.py"
"Component Count:","107"

"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","DNP","Arrow Part Number","Arrow Price/Stock","Height","Manufacturer_Name","Manufacturer_Part_Number","Mouser Part Number","Mouser Price/Stock"
"1","13","C1, C7, C8, C10, C11, C12, C13, C14, C18, C19, C23, C25, C29","100nF","Device:C","Capacitor_THT:C_Disc_D7.0mm_W2.5mm_P5.00mm","~","","","","","","","",""
"2","1","C2","330uF","Device:CP","Capacitor_THT:CP_Radial_D8.0mm_P5.00mm","","","","","","","","",""
"3","4","C3, C5, C24, C30","10uF","Device:CP","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm","","","","","","","","",""
"4","1","C4","100pF","Device:C","Capacitor_THT:C_Disc_D4.7mm_W2.5mm_P5.00mm","~","","","","","","","",""
"5","1","C6","270pF","Device:C","Capacitor_THT:C_Disc_D4.7mm_W2.5mm_P5.00mm","~","","","","","","","",""
"6","8","C9, C17, C22, C31, C32, C33, C34, C35","100nF","Device:C","Capacitor_SMD:C_1206_3216Metric","~","","","","","","","",""
"7","2","C15, C16","33pF","Device:C","Capacitor_THT:C_Disc_D3.0mm_W1.6mm_P2.50mm","~","","","","","","","",""
"8","2","C20, C21","10nF","Device:C","Capacitor_THT:C_Disc_D7.0mm_W2.5mm_P5.00mm","~","","","","","","","",""
"9","1","C26","0.47uF","Device:C_Polarized","Capacitor_THT:CP_Radial_D5.0mm_P2.00mm","~","","","","","","","",""
"10","1","C27","0.1uF","Device:C_Polarized","Capacitor_THT:CP_Radial_D5.0mm_P2.00mm","~","","","","","","","",""
"11","1","C28","2.2uF","Device:C_Polarized","Capacitor_THT:CP_Radial_D5.0mm_P2.00mm","~","","","","","","","",""
"12","1","D1","LED","Device:LED","LED_THT:LED_D3.0mm","~","","","","","","","",""
"13","5","H1, H2, H4, H6, H7","MountingHole_Pad","Mechanical:MountingHole_Pad","MountingHole:MountingHole_3.2mm_M3_DIN965_Pad","~","","","","","","","",""
"14","1","J1","Conn_01x07","Connector_Generic:Conn_01x07","Connector_PinHeader_2.54mm:PinHeader_1x07_P2.54mm_Vertical","~","","","","","","","",""
"15","3","J2, J10, J11","Conn_01x02","Connector_Generic:Conn_01x02","Connector_Molex:Molex_KK-254_AE-6410-02A_1x02_P2.54mm_Vertical","~","","","","","","","",""
